,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Shipment Days,Order Year,Ship Year,Gender
0,2016-11-25,2016-12-02,Standard Class,Cindy Stewart,Consumer,United States,Lancaster,Ohio,43130,East,Technology,Machines,4499.985,5.0,0.7,-6599.978,7.0,2016,2016,Male
1,2017-11-04,2017-11-04,Same Day,Grant Thornton,Corporate,United States,Burlington,North Carolina,27217,South,Technology,Machines,7999.98,4.0,0.5,-3839.9904,0.0,2017,2017,Male
2,2014-07-26,2014-07-30,Standard Class,Luke Foster,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Binders,2177.584,8.0,0.8,-3701.8928,4.0,2014,2014,Male
3,2017-04-17,2017-04-24,Standard Class,Sharelle Roach,Home Office,United States,Louisville,Colorado,80027,West,Technology,Machines,2549.985,5.0,0.7,-3399.98,7.0,2017,2017,Unknown
4,2017-12-07,2017-12-13,Standard Class,Henry Goldwyn,Corporate,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,1889.99,5.0,0.8,-2929.4845,6.0,2017,2017,Male
5,2015-12-15,2015-12-18,First Class,Natalie Fritzler,Consumer,United States,Newark,Ohio,43055,East,Technology,Machines,1799.994,2.0,0.7,-2639.9912,3.0,2015,2015,Female
6,2017-11-19,2017-11-21,First Class,Nathan Cano,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Binders,1525.188,6.0,0.8,-2287.782,2.0,2017,2017,Male
7,2015-01-28,1970-01-01,Second Class,Joseph Holt,Consumer,United States,Concord,North Carolina,28027,South,Furniture,Tables,4297.644,13.0,0.4,0.0,-16463.0,2015,1970,Male
8,2016-04-08,2016-04-12,Standard Class,Zuschuss Carroll,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1088.792,4.0,0.8,-1850.9464,4.0,2016,2016,Unknown
9,2014-03-18,2014-03-23,Standard Class,Sean Miller,Home Office,United States,Jacksonville,Florida,32216,South,Technology,Machines,22638.48,6.0,0.5,-1811.0784,5.0,2014,2014,Male
10,2015-09-17,2015-09-21,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,3083.43,7.0,0.5,-1665.0522,4.0,2015,2015,Unknown
11,2014-11-11,2014-11-15,Standard Class,Karen Daniels,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,NO_SUB_CATEGORY,896.99,5.0,0.8,-1480.0335,4.0,2014,2014,Male
12,2014-09-08,2014-09-12,Standard Class,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Machines,8159.952,8.0,0.4,-1359.992,4.0,2014,2014,Male
13,2017-10-19,1970-01-01,Standard Class,Tracy Hopkins,Home Office,United States,Burlington,North Carolina,27217,South,Office Supplies,Binders,1633.188,4.0,0.7,-1306.5504,-17458.0,2017,1970,Unknown
14,2017-08-13,2017-08-18,Standard Class,Dan Campbell,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Binders,1614.582,6.0,0.7,0.0,5.0,2017,2017,Male
15,,2015-04-11,Standard Class,Peter Fuller,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Appliances,463.248,8.0,0.8,-1181.2824,,0,2015,Male
16,2017-09-10,2017-09-15,Standard Class,Skye Norling,Home Office,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,762.594,3.0,0.8,-1143.891,5.0,2017,2017,Unknown
17,2017-01-12,2017-01-16,Standard Class,David Bremer,Corporate,United States,Dallas,Texas,75217,Central,Office Supplies,Binders,760.98,5.0,0.8,-1141.47,4.0,2017,2017,Male
18,2015-12-04,2015-12-07,Second Class,Rose O'Brian,Consumer,United States,Clarksville,Tennessee,37042,South,Office Supplies,Binders,1598.058,7.0,0.7,-1065.372,3.0,2015,2015,Female
19,2017-09-22,2017-09-26,Second Class,Joseph Airdo,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Supplies,4663.736,7.0,0.2,-1049.3406,4.0,2017,2017,Male
20,2015-11-07,2015-11-11,Standard Class,NONE,Corporate,United States,Miami,Florida,33142,South,Office Supplies,Binders,1345.485,5.0,0.7,-1031.5385,4.0,2015,2015,Unknown
21,2017-10-02,2017-10-05,First Class,Dean percer,Home Office,United States,Knoxville,Tennessee,37918,South,Furniture,Tables,2314.116,7.0,0.4,-1002.7836,3.0,2017,2017,Male
22,2017-10-16,2017-10-21,Standard Class,Victoria Pisteka,Corporate,United States,Columbia,Tennessee,38401,South,Furniture,Tables,1875.258,7.0,0.4,-968.8833,5.0,2017,2017,Female
23,2015-01-02,2015-01-09,Standard Class,Victoria Wilson,Corporate,United States,Medina,Ohio,44256,East,Technology,Machines,1188.0,9.0,0.7,-950.4,7.0,2015,2015,Male
24,2014-09-19,2014-09-24,Standard Class,John Lee,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Machines,2624.985,3.0,0.5,-944.9946,5.0,2014,2014,Male
25,2016-10-06,2016-10-07,First Class,Laurel Beltran,Home Office,United States,Pueblo,Colorado,81001,West,Technology,Machines,703.71,6.0,0.7,-938.28,1.0,2016,2016,Female
26,2017-11-13,2017-11-15,First Class,Sean Braxton,Corporate,United States,Springfield,Ohio,45503,East,Technology,Machines,652.995,7.0,0.7,-935.9595,2.0,2017,2017,Male
27,2015-09-20,2015-09-24,Standard Class,Barry Gonzalez,Consumer,United States,Nashville,Tennessee,37211,South,Office Supplies,Binders,1369.764,6.0,0.7,-913.176,4.0,2015,2015,Male
28,2016-07-28,2016-07-29,First Class,Olvera Toch,Consumer,United States,Bethlehem,Pennsylvania,18018,East,Office Supplies,Binders,1369.764,1.0,0.7,-913.176,1.0,2016,2016,Unknown
29,2016-04-22,2016-04-29,Standard Class,Tanja Norvell,Home Office,United States,Phoenix,Arizona,85023,West,Furniture,Tables,1272.63,6.0,0.5,-814.4832,7.0,2016,2016,Female
30,2015-12-24,2015-12-28,Standard Class,Jim Radford,Consumer,United States,Colorado Springs,Colorado,80906,West,Furniture,Bookcases,590.058,7.0,0.7,-786.744,4.0,2015,2015,Male
31,2016-03-03,2016-03-08,Standard Class,Alex Avila,Consumer,United States,Round Rock,Texas,78664,Central,Office Supplies,Supplies,3930.072,3.0,0.2,-786.0144,5.0,2016,2016,Male
